"F","A","M","E","I","U"
3,40,10,0,"1","0"
7,39,14,0,"1","0"
6,40,16,0,"1","0"
7,35,14,0,"1","0"
1,35,24,0,"1","0"
0,40,26,0,"1","0"
5,40,12,0,"1","0"
5,38,15,0,"1","0"
3,37,16,0,"1","0"
6,43,13,0,"1","0"
2,40,11,0,"1","0"
6,36,15,0,"1","0"
7,42,15,0,"1","0"
10,42,16,0,"1","0"
5,40,16,0,"1","0"
8,46,13,3,"1","0"
9,45,14,0,"1","0"
5,43,21,3,"1","0"
9,39,14,0,"1","0"
7,43,17,0,"1","0"
6,44,13,0,"1","0"
11,40,11,0,"1","0"
8,44,12,0,"1","0"
8,48,16,0,"1","0"
2,35,16,0,"1","0"
2,38,15,0,"1","0"
6,40,14,0,"1","0"
4,42,14,0,"1","0"
8,43,17,0,"1","0"
10,45,14,0,"1","0"
5,45,15,0,"1","0"
12,41,15,0,"1","0"
3,38,14,0,"1","0"
5,36,15,0,"1","0"
5,39,14,0,"1","0"
5,49,13,0,"1","0"
9,40,13,0,"1","0"
9,39,17,0,"1","0"
9,36,11,0,"1","0"
8,36,15,0,"1","0"
10,36,13,0,"1","0"
5,44,25,4,"0","0"
6,36,18,5,"0","0"
3,47,25,0,"0","0"
11,44,14,0,"0","0"
12,47,15,0,"1","0"
9,40,16,0,"1","0"
3,40,15,0,"1","0"
9,35,13,0,"1","0"
7,46,17,0,"1","0"
8,38,14,0,"1","0"
9,39,15,4,"1","0"
4,47,12,0,"1","0"
6,39,14,0,"1","0"
9,46,13,0,"1","0"
8,43,16,0,"1","0"
4,35,17,0,"1","0"
9,41,12,0,"1","0"
7,38,16,0,"1","0"
5,35,14,0,"1","0"
9,39,10,0,"1","0"
6,45,14,2,"1","0"
6,35,18,4,"0","0"
8,43,16,7,"0","0"
2,35,30,8,"0","0"
8,47,22,6,"0","0"
4,46,24,8,"0","0"
6,47,19,6,"0","0"
11,42,14,3,"1","0"
1,38,17,0,"1","0"
10,42,16,0,"1","0"
9,40,20,0,"1","0"
5,38,21,0,"1","0"
5,40,12,0,"1","0"
7,45,12,0,"1","0"
3,40,16,0,"1","0"
3,35,15,0,"1","0"
5,48,17,0,"1","0"
3,37,16,1,"1","0"
6,38,23,3,"0","0"
8,35,10,0,"1","0"
10,37,16,0,"1","0"
6,47,14,0,"1","0"
6,40,14,0,"1","0"
7,37,10,8,"1","0"
8,45,13,0,"1","0"
6,38,13,0,"1","0"
9,43,15,2,"1","0"
4,38,13,3,"1","0"
7,35,10,0,"1","0"
5,38,19,0,"1","0"
1,40,14,0,"1","0"
5,38,19,0,"1","0"
4,36,14,0,"1","0"
6,39,14,0,"1","0"
10,44,13,0,"1","0"
9,46,18,0,"1","0"
3,37,11,0,"1","0"
5,44,12,0,"1","0"
3,46,17,0,"1","0"
8,38,13,0,"1","0"
7,38,14,0,"1","0"
6,47,13,0,"1","0"
5,42,23,5,"0","1"
8,36,16,6,"0","1"
4,37,22,8,"0","1"
7,41,17,5,"0","1"
6,35,20,0,"1","1"
1,43,12,0,"1","1"
3,47,32,13,"1","1"
11,41,20,5,"1","1"
3,38,17,0,"1","1"
3,45,13,0,"1","1"
3,41,28,0,"1","1"
7,39,17,0,"1","1"
7,41,15,0,"1","1"
7,40,18,8,"0","1"
2,48,16,5,"0","0"
7,48,21,0,"0","0"
8,42,18,0,"0","0"
10,40,17,6,"0","0"
5,36,18,6,"0","0"
8,44,21,8,"0","0"
1,39,35,6,"0","0"
8,38,18,6,"0","0"
2,42,14,0,"1","0"
7,37,16,0,"1","0"
9,40,23,0,"1","0"
7,35,10,0,"1","0"
10,35,15,0,"1","0"
14,42,13,0,"1","0"
7,40,10,1,"1","0"
1,38,29,5,"0","0"
7,44,21,5,"0","0"
9,48,16,6,"0","0"
13,43,17,5,"0","0"
7,47,20,4,"0","0"
7,45,19,4,"0","0"
8,41,22,0,"0","0"
8,40,16,0,"1","0"
6,48,11,0,"1","0"
9,37,15,7,"1","0"
8,45,18,4,"1","0"
11,47,16,0,"1","0"
6,37,19,5,"0","0"
7,42,19,4,"0","0"
9,49,22,8,"0","0"
4,38,24,7,"0","0"
10,42,16,4,"0","0"
2,45,23,6,"0","0"
4,44,37,8,"0","0"
5,35,21,0,"1","0"
8,40,17,0,"1","0"
5,45,11,0,"1","0"
3,35,14,5,"1","0"
6,35,17,0,"1","0"
12,45,12,0,"1","0"
7,35,15,4,"1","0"
6,42,13,0,"1","0"
11,47,12,0,"1","0"
7,43,17,8,"0","0"
7,46,19,6,"0","0"
7,45,19,4,"0","0"
15,45,14,2,"1","0"
8,39,13,0,"1","0"
6,44,14,4,"1","0"
5,36,18,7,"1","0"
9,46,17,0,"1","0"
7,47,11,0,"1","0"
8,46,12,0,"1","0"
8,40,14,4,"1","0"
11,40,15,8,"1","0"
5,35,15,0,"1","0"
5,39,16,0,"1","0"
6,47,22,4,"0","0"
5,41,21,8,"0","0"
0,35,19,6,"0","0"
5,42,21,8,"0","0"
3,35,21,3,"1","0"
5,38,16,0,"1","0"
8,41,15,0,"1","0"
15,45,16,0,"1","0"
9,39,12,4,"1","0"
7,36,13,0,"1","0"
7,39,18,0,"0","0"
2,43,19,6,"0","0"
6,39,19,4,"0","0"
3,39,28,7,"0","0"
5,47,17,0,"1","0"
4,41,22,8,"1","0"
6,36,18,0,"1","0"
8,39,14,2,"1","0"
9,46,14,0,"1","0"
7,37,15,6,"1","0"
6,35,13,3,"1","0"
7,40,11,0,"1","0"
1,39,14,3,"1","0"
3,43,19,0,"1","0"
5,48,15,0,"1","0"
0,35,24,7,"0","0"
10,46,18,4,"0","0"
10,43,19,3,"0","0"
6,36,22,5,"0","0"
7,37,15,6,"0","0"
1,39,29,6,"0","0"
3,36,25,4,"0","0"
5,36,17,5,"0","0"
4,35,26,5,"0","0"
8,49,17,0,"1","0"
8,44,10,0,"1","0"
12,45,16,0,"1","0"
9,41,17,0,"1","0"
8,42,15,5,"1","0"
12,37,14,0,"1","0"
10,36,9,0,"1","0"
9,37,14,0,"1","0"
8,47,17,6,"0","0"
2,41,13,5,"0","0"
7,42,22,5,"0","0"
7,43,19,8,"0","0"
6,43,17,7,"0","0"
1,46,18,4,"0","0"
8,37,21,5,"0","0"
